Region,Event,Player,Team Abbreviated,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,CW,CP,KMax,K,D,A,FK,FD
International,Champions Tour 2024: Masters Madrid,AAAAY,FPX,FunPlus Phoenix,86,0.74,161,0.69,0.66,112.1,0.56,0.27,0.01,0.02,0.31,0.07,1/14,1,14,15,48,70,23,1,2
International,Champions Tour 2024: Masters Shanghai,Boo,TH,Team Heretics,492,,177.6,1.05,,110.2,0.65,0.42,0.09,0.06,,,,,,20,320,306,207,42,30
International,Champions Tour 2024: Masters Shanghai,nobody,EDG,EDward Gaming,78,,159,0.7,,102.9,0.56,0.29,0.06,0.14,,,,,,21,44,63,23,5,11
International,Champions Tour 2024: Masters Shanghai,Meteor,GEN,Gen.G,388,,230.8,1.22,,150.8,0.84,0.13,0.11,0.09,,,,,,31,326,267,51,43,36
International,Champions Tour 2024: Masters Shanghai,Karon,GEN,Gen.G,388,,193.2,1.13,,125.9,0.7,0.45,0.06,0.07,,,,,,26,270,238,175,22,28
International,Champions Tour 2024: Masters Shanghai,C0M,LEV,LEVIATÁN,162,,146,0.73,,96,0.5,0.26,0.07,0.09,,,,,,16,81,111,42,11,15
International,Champions Tour 2024: Masters Shanghai,tex,LEV,LEVIATÁN,162,,219.8,1.16,,145.7,0.77,0.23,0.07,0.07,,,,,,20,125,108,37,12,12
International,Champions Tour 2024: Masters Shanghai,Mazino,LEV,LEVIATÁN,162,,199.3,1.01,,135.8,0.73,0.36,0.09,0.08,,,,,,30,119,118,59,14,13
International,Champions Tour 2024: Masters Shanghai,aspas,LEV,LEVIATÁN,162,,237.8,1.17,,158,0.85,0.17,0.21,0.12,,,,,,23,137,117,28,34,20
International,Champions Tour 2024: Masters Shanghai,kiNgg,LEV,LEVIATÁN,162,,210.1,1.05,,140.7,0.75,0.32,0.09,0.1,,,,,,28,121,115,52,14,16
